#{"t_start": 1648004650.129054, "env_id": null}
r,l,t
-20.0,20,817.841823
-20.0,20,819.338529
-20.0,20,820.081366
-20.0,20,820.081464
-20.0,20,820.298199
16.0,5,820.679504
-20.0,20,821.834175
-20.0,20,822.54414
-20.0,20,822.82077
-20.0,20,823.1228
-20.0,20,824.084911
-20.0,20,824.929617
-20.0,20,825.203693
-20.0,20,825.616862
-20.0,20,826.836493
-20.0,20,827.76719
-20.0,20,827.999403
-20.0,20,828.47328
-20.0,20,829.710595
-20.0,20,830.745857
-20.0,20,831.001798
-20.0,20,831.374014
-20.0,20,832.574934
-20.0,20,833.396635
-20.0,20,833.768019
-20.0,20,834.309853
-20.0,20,835.703013
-20.0,20,836.637353
-20.0,20,836.995587
-20.0,20,837.514381
-20.0,20,838.941991
-20.0,20,839.930594
-20.0,20,840.150956
-20.0,20,840.517063
-20.0,20,841.70151
-20.0,20,842.409899
-20.0,20,842.757829
-20.0,20,843.087078
-20.0,20,844.16138
-20.0,20,844.775436
-20.0,20,845.043059
11.0,10,845.309547
-20.0,20,845.495429
-20.0,20,847.423834
-20.0,20,847.737042
-20.0,20,848.016026
-20.0,20,848.207921
13.0,8,848.646586
-20.0,20,850.649214
-20.0,20,850.926042
-20.0,20,851.029258
-20.0,20,851.50117
15.0,6,851.731394
-20.0,20,853.159413
-20.0,20,853.497579
1.0,20,853.955451
14.0,7,854.114933
-20.0,20,854.239545
-20.0,20,856.350383
-20.0,20,856.823554
-20.0,20,856.959089
-20.0,20,857.115616
-20.0,20,859.028074
1.0,20,859.49134
-20.0,20,859.636248
-20.0,20,859.755068
-20.0,20,861.660134
-20.0,20,862.253216
-20.0,20,862.371092
-20.0,20,862.479476
3.0,18,863.913703
-20.0,20,864.433814
-20.0,20,864.513836
1.0,20,864.635648
15.0,6,865.247447
-20.0,20,865.927972
-20.0,20,866.288215
15.0,6,866.37983
-20.0,20,866.465306
20.0,1,866.573039
